Time (of recording)	Data split	Random seed	MSE loss
2021-06-06 20:54:37.566851	random	0	10.78450719365226
2021-06-06 20:54:37.798812	random	1	10.87880653065335
2021-06-06 20:54:38.000914	random	2	10.708075368664892
2021-06-06 20:54:38.194393	random	3	10.752290862638885
2021-06-06 20:54:38.399036	random	4	10.874889630241995
