number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.5002527991681895	2020-07-27 19:37:27.958241	2020-07-27 19:43:35.096512	0 days 00:06:07.138271000	0.15000000000000002	0.0006260355569440491	8	2				pyramid_2	COMPLETE
1	inf	2020-07-27 19:43:35.097106	2020-07-27 19:45:58.307545	0 days 00:02:23.210439000	0.1	0.022794292718292416	9	2			flat		COMPLETE
2	0.4799324403066323	2020-07-27 19:45:58.308093	2020-07-27 19:52:09.540641	0 days 00:06:11.232548000		1.8865950732077693e-05	9	1					COMPLETE
3	0.4889685616379391	2020-07-27 19:52:09.541133	2020-07-27 19:58:13.059599	0 days 00:06:03.518466000	0.15000000000000002	8.916955599538711e-05	8	2				pyramid_4	COMPLETE
4	0.48104354244539105	2020-07-27 19:58:13.060112	2020-07-27 20:04:10.481717	0 days 00:05:57.421605000		0.00013106604489403458	7	1					COMPLETE
5	0.4864030905065022	2020-07-27 20:04:10.482200	2020-07-27 20:10:32.705928	0 days 00:06:22.223728000	0.45	0.0007442708273855183	10	2					COMPLETE
6	0.47795039811374657	2020-07-27 20:10:32.706401	2020-07-27 20:17:03.296523	0 days 00:06:30.590122000	0.4	1.538175972594564e-05	7	3	flat				COMPLETE
7	0.49618541899157453	2020-07-27 20:17:03.297040	2020-07-27 20:23:29.106048	0 days 00:06:25.809008000	0.45	0.0001714346624758033	10	2					COMPLETE
8	0.48032318203434493	2020-07-27 20:23:29.106605	2020-07-27 20:29:20.900433	0 days 00:05:51.793828000	0.0	7.901398535129303e-05	6	2				flat	COMPLETE
9	inf	2020-07-27 20:29:20.900949	2020-07-27 20:31:48.576612	0 days 00:02:27.675663000	0.15000000000000002	0.028937882747071583	8	3	pyramid_2				COMPLETE
10	0.47868891486649384	2020-07-27 20:31:48.577129	2020-07-27 20:38:14.870389	0 days 00:06:26.293260000	0.35000000000000003	0.00477672821125666	6	3		flat			COMPLETE
11	0.47606755856177535	2020-07-27 20:38:14.870917	2020-07-27 20:44:28.595532	0 days 00:06:13.724615000	0.35000000000000003	0.003535458758672316	6	3		flat			COMPLETE
12	0.48034033671445703	2020-07-27 20:44:28.611173	2020-07-27 20:50:58.961811	0 days 00:06:30.350638000	0.30000000000000004	0.004189882920585357	7	3	flat				COMPLETE
13	0.4769454720376552	2020-07-27 20:50:58.962326	2020-07-27 20:58:53.263318	0 days 00:07:54.300992000	0.35000000000000003	1.0589894490808695e-05	7	3	flat				COMPLETE
14	0.4762551723854611	2020-07-27 20:58:53.263856	2020-07-27 21:05:10.293937	0 days 00:06:17.030081000	0.25	0.00495563195552972	6	3		flat			COMPLETE
15	0.48553511620073797	2020-07-27 21:05:10.294466	2020-07-27 21:11:11.049003	0 days 00:06:00.754537000	0.25	0.004211458713540045	6	3		flat			COMPLETE
16	inf	2020-07-27 21:11:11.049518	2020-07-27 21:17:07.551464	0 days 00:05:56.501946000	0.25	0.010917313423439122	6	3		flat			COMPLETE
17	0.48036585932933157	2020-07-27 21:17:07.552028	2020-07-27 21:23:47.105077	0 days 00:06:39.553049000	0.5	0.00183134115643049	6	3		pyramid_2			COMPLETE
18	0.49200296069076904	2020-07-27 21:23:47.105627	2020-07-27 21:30:32.463537	0 days 00:06:45.357910000	0.30000000000000004	0.0016552202579105135	7	3	pyramid_2				COMPLETE
19	0.48396483764850806	2020-07-27 21:30:32.464091	2020-07-27 21:37:15.139918	0 days 00:06:42.675827000		0.00999091665846728	6	1					COMPLETE
20	0.5073366751852129	2020-07-27 21:37:15.140464	2020-07-27 21:44:01.036265	0 days 00:06:45.895801000	0.2	0.0016463328047848682	7	3	pyramid_2				COMPLETE
21	0.47965643322520507	2020-07-27 21:44:01.036826	2020-07-27 21:51:30.686445	0 days 00:07:29.649619000	0.35000000000000003	0.009441868457104458	7	3	flat				COMPLETE
22	0.4987269255826159	2020-07-27 21:51:30.710797	2020-07-27 21:58:22.573284	0 days 00:06:51.862487000	0.35000000000000003	0.0003183847796092375	6	3		pyramid_4			COMPLETE
23	0.47924538656718746	2020-07-27 21:58:22.573837	2020-07-27 22:05:03.884785	0 days 00:06:41.310948000	0.30000000000000004	0.0022484785841138475	7	3	flat				COMPLETE
24	0.47856542535001045	2020-07-27 22:05:03.885329	2020-07-27 22:11:46.787587	0 days 00:06:42.902258000	0.4	4.830950734130129e-05	6	3		flat			COMPLETE
