number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.5191471221941665	2020-07-28 17:50:01.814478	2020-07-28 17:56:37.793711	0 days 00:06:35.979233000		0.00035103294253490633	7	1					COMPLETE
1	0.520234332599116	2020-07-28 17:56:37.794215	2020-07-28 18:03:15.248561	0 days 00:06:37.454346000		4.909227715730358e-05	8	1					COMPLETE
2	0.5113167631237358	2020-07-28 18:03:15.249059	2020-07-28 18:11:46.328833	0 days 00:08:31.079774000	0.5	2.039650347779754e-05	10	3					COMPLETE
3	0.5299549984466535	2020-07-28 18:11:46.329437	2020-07-28 18:17:35.573049	0 days 00:05:49.243612000		0.008280964410845675	8	1					COMPLETE
4	0.5260438632931645	2020-07-28 18:17:35.573593	2020-07-28 18:26:01.480694	0 days 00:08:25.907101000	0.25	0.00990809674369301	7	2				flat	COMPLETE
5	0.5137819464196941	2020-07-28 18:26:01.481226	2020-07-28 18:32:32.632157	0 days 00:06:31.150931000	0.1	5.723984758908304e-05	9	2			pyramid_2		COMPLETE
6	0.5197986760320613	2020-07-28 18:32:32.632659	2020-07-28 18:39:09.117446	0 days 00:06:36.484787000		3.384162121526541e-05	9	1					COMPLETE
7	inf	2020-07-28 18:39:09.117946	2020-07-28 18:41:33.865846	0 days 00:02:24.747900000	0.45	0.021535002937877516	8	3	pyramid_2				COMPLETE
8	0.514011309545128	2020-07-28 18:41:33.866363	2020-07-28 18:48:40.542180	0 days 00:07:06.675817000	0.5	0.00010623527877331791	8	2				pyramid_4	COMPLETE
9	0.5107696494186642	2020-07-28 18:48:40.542707	2020-07-28 18:54:39.840136	0 days 00:05:59.297429000	0.15000000000000002	0.00116019081494242	6	3		pyramid_2			COMPLETE
10	0.5133481098422524	2020-07-28 18:54:39.841163	2020-07-28 19:01:26.811812	0 days 00:06:46.970649000	0.0	0.0022118933445309324	6	3		pyramid_2			COMPLETE
11	0.5121035943045246	2020-07-28 19:01:26.820731	2020-07-28 19:07:50.335463	0 days 00:06:23.514732000	0.25	0.000809501896750479	10	3					COMPLETE
12	0.5114610690279079	2020-07-28 19:07:50.335973	2020-07-28 19:15:46.253994	0 days 00:07:55.918021000	0.15000000000000002	1.1140637710896124e-05	10	3					COMPLETE
13	0.5104525009324716	2020-07-28 19:15:46.254557	2020-07-28 19:22:28.202886	0 days 00:06:41.948329000	0.35000000000000003	0.0017085269086345059	6	3		pyramid_2			COMPLETE
14	0.5116293044901257	2020-07-28 19:22:28.203454	2020-07-28 19:29:07.936744	0 days 00:06:39.733290000	0.35000000000000003	0.0013571304934420036	6	3		pyramid_2			COMPLETE
15	0.513369553156306	2020-07-28 19:29:07.937308	2020-07-28 19:34:58.918700	0 days 00:05:50.981392000	0.35000000000000003	0.0002760275187547681	6	2				pyramid_2	COMPLETE
16	0.5121434906982386	2020-07-28 19:34:58.919251	2020-07-28 19:42:45.417958	0 days 00:07:46.498707000	0.15000000000000002	0.0033968922856810265	7	3	flat				COMPLETE
17	0.5231848336492345	2020-07-28 19:42:45.418489	2020-07-28 19:48:24.780871	0 days 00:05:39.362382000	0.35000000000000003	0.005315110970667908	6	2				flat	COMPLETE
18	0.5133111990968223	2020-07-28 19:48:24.781420	2020-07-28 19:55:48.244687	0 days 00:07:23.463267000	0.0	0.0007043792375205596	7	3	pyramid_2				COMPLETE
19	0.5123484269927497	2020-07-28 19:55:48.245248	2020-07-28 20:02:01.991147	0 days 00:06:13.745899000	0.1	0.00019429551249577117	6	3		pyramid_2			COMPLETE
20	inf	2020-07-28 20:02:01.992906	2020-07-28 20:04:33.907671	0 days 00:02:31.914765000	0.30000000000000004	0.025463275169145833	7	2				pyramid_2	COMPLETE
21	0.5088567526687453	2020-07-28 20:04:33.908203	2020-07-28 20:12:17.480596	0 days 00:07:43.572393000	0.45	0.0017617352163678166	10	3					COMPLETE
22	0.511422403579703	2020-07-28 20:12:17.487123	2020-07-28 20:21:26.088830	0 days 00:09:08.601707000	0.45	0.001788699312650789	9	3					COMPLETE
23	0.5104056279836239	2020-07-28 20:21:26.089330	2020-07-28 20:29:08.208140	0 days 00:07:42.118810000	0.4	0.001031652505683234	6	3		pyramid_4			COMPLETE
24	0.5106435191379104	2020-07-28 20:29:08.208649	2020-07-28 20:35:49.609681	0 days 00:06:41.401032000	0.4	0.0033371916995677776	9	3					COMPLETE
