number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_layer_size_architecture	params_max_layer_size_exponent	params_num_layers	state
0	0.9847513161072572	2020-06-30 18:21:29.698156	2020-06-30 18:21:50.057711	0 days 00:00:20.359555000	0.2	1.2885973587160247e-05	flat	8	2	COMPLETE
1	0.9766172848384665	2020-06-30 18:21:50.058318	2020-06-30 18:22:02.805417	0 days 00:00:12.747099000	0.5	0.003490615010704565	pyramid_4	9	2	COMPLETE
2	0.9889588473135965	2020-06-30 18:22:02.806030	2020-06-30 18:22:16.530809	0 days 00:00:13.724779000	0.05	8.538505909014903e-05		6	1	COMPLETE
3	0.9848860666720828	2020-06-30 18:22:16.531359	2020-06-30 18:22:27.726595	0 days 00:00:11.195236000	0.05	0.0019126648637654996		8	1	COMPLETE
4	1.0389747917550933	2020-06-30 18:22:27.727138	2020-06-30 18:22:39.256443	0 days 00:00:11.529305000	0.4	0.012245347032204363	flat	7	3	COMPLETE
5	0.9822856149635681	2020-06-30 18:22:39.256990	2020-06-30 18:22:50.374853	0 days 00:00:11.117863000	0.1	0.004437359390280144		6	1	COMPLETE
6	0.9887503761589426	2020-06-30 18:22:50.375354	2020-06-30 18:23:07.125374	0 days 00:00:16.750020000	0.2	3.530368352430552e-05		6	1	COMPLETE
7	0.9856610335396991	2020-06-30 18:23:07.125886	2020-06-30 18:24:21.359995	0 days 00:01:14.234109000	0.1	1.8444040268096656e-05	pyramid_4	6	3	COMPLETE
8	0.9780183318245526	2020-06-30 18:24:21.360535	2020-06-30 18:24:32.469386	0 days 00:00:11.108851000	0.4	0.003294264435052269	pyramid_2	7	2	COMPLETE
9	inf	2020-06-30 18:24:32.469891	2020-06-30 18:24:32.968831	0 days 00:00:00.498940000	0.30000000000000004	0.04206518234000098	flat	10	3	COMPLETE
10	0.9787717913124071	2020-06-30 18:24:32.969583	2020-06-30 18:24:44.607624	0 days 00:00:11.638041000	0.5	0.00027789314207028704	pyramid_4	10	2	COMPLETE
11	0.9760837539819653	2020-06-30 18:24:44.608131	2020-06-30 18:24:56.068382	0 days 00:00:11.460251000	0.5	0.0006675948948088957	pyramid_2	9	2	COMPLETE
12	0.9798715363671433	2020-06-30 18:24:56.068889	2020-06-30 18:25:07.026734	0 days 00:00:10.957845000	0.5	0.0004619169234567952	pyramid_2	9	2	COMPLETE
13	0.9787066232436245	2020-06-30 18:25:07.027237	2020-06-30 18:25:17.878834	0 days 00:00:10.851597000	0.4	0.0006431678995715787	pyramid_2	9	2	COMPLETE
14	0.9807091912106058	2020-06-30 18:25:17.879359	2020-06-30 18:25:30.099405	0 days 00:00:12.220046000	0.5	0.021721846502868507	pyramid_4	4	2	COMPLETE
15	0.979561683641832	2020-06-30 18:25:30.099915	2020-06-30 18:25:41.445495	0 days 00:00:11.345580000	0.30000000000000004	0.00014084630493066725	pyramid_4	9	3	COMPLETE
16	0.9960693842958581	2020-06-30 18:25:41.446044	2020-06-30 18:25:54.145853	0 days 00:00:12.699809000	0.45	0.008479635090894189	pyramid_2	10	2	COMPLETE
17	0.9797824378194415	2020-06-30 18:25:54.146368	2020-06-30 18:26:04.400397	0 days 00:00:10.254029000	0.35000000000000003	0.0014857437653998033	pyramid_2	8	2	COMPLETE
18	inf	2020-06-30 18:26:04.400914	2020-06-30 18:26:04.849774	0 days 00:00:00.448860000	0.45	0.08936513483709611		9	1	COMPLETE
19	0.9864659912247542	2020-06-30 18:26:04.850358	2020-06-30 18:26:26.732721	0 days 00:00:21.882363000	0.45	0.0006977096836430304	pyramid_4	4	3	COMPLETE
20	0.9802155145495102	2020-06-30 18:26:26.733234	2020-06-30 18:26:37.814482	0 days 00:00:11.081248000	0.25	0.0001621550474814265	pyramid_2	8	2	COMPLETE
21	0.9771519089392774	2020-06-30 18:26:37.815013	2020-06-30 18:26:48.938170	0 days 00:00:11.123157000	0.4	0.003266404919036292	pyramid_2	7	2	COMPLETE
22	0.9799189983685271	2020-06-30 18:26:48.938674	2020-06-30 18:27:01.513735	0 days 00:00:12.575061000	0.5	0.0038634333236590456	pyramid_2	5	2	COMPLETE
23	0.9813125221757614	2020-06-30 18:27:01.514245	2020-06-30 18:27:13.013513	0 days 00:00:11.499268000	0.35000000000000003	0.001259868770887114	pyramid_2	9	2	COMPLETE
24	0.9835482879621401	2020-06-30 18:27:13.014047	2020-06-30 18:27:23.668700	0 days 00:00:10.654653000	0.45	0.008072479217290133	pyramid_2	7	2	COMPLETE
25	0.9777494766243987	2020-06-30 18:27:23.669208	2020-06-30 18:27:35.991375	0 days 00:00:12.322167000	0.5	0.0017489970489024827	pyramid_4	10	2	COMPLETE
26	inf	2020-06-30 18:27:35.991924	2020-06-30 18:27:36.469036	0 days 00:00:00.477112000	0.4	0.026174163090000924		8	1	COMPLETE
